color	ID	t_length	mean_size	N	length_%
black	B218	2035997	44389.194317869995	528	0.5460772568282475
black	B223	11886488	46902.333286099994	3110	3.1880739623499417
black	B225	2021306	58138.701704700004	435	0.5421325191522838
black	B226	2043772	54130.80952976001	455	0.5481535720448341
black	B228	9282808	58266.92045927	1806	2.489728844763164
black	B230	6367667	49032.195585630005	1555	1.707866152776268
black	B235	2052301	54985.95215637	469	0.5504430758844939
black	B236	1983022	58608.91920585	438	0.531868604367751
black	B240	1111794	39819.94947546	340	0.2981891781091883
black	B241	1705654	40408.23836371001	392	0.4574680813937725
black	B245	3653502	50428.65453125999	911	0.9798890534469229
black	B250	4038383	66364.47898713	738	1.0831398490729565
black	B258	6045143	53530.83128416	1340	1.6213611806270594
black	B263	871491	38971.36938624	280	0.23374324866287624
black	B266	5202356	47810.414920530005	1282	1.3952653812426203
black	B269	426812	78559.87500001001	70	0.114473901083995
black	CX116	1609387	50760.45446872	416	0.43164948692838184
black	CX129	8435259	47544.65520835	2137	2.2624359496154702
black	CX140	206886	36608.12710623	70	0.05548825990256144
black	CX151	2711089	44904.35328029	724	0.7271491766844114
black	CX212	15998255	47990.58343718001	4117	4.290958032867796
black	CX248	1462471	36989.90958421001	484	0.39224725429188356
black	CX306	930903	41457.21255695	280	0.2496748578137245
black	CX315	4117905	48726.46373136	1032	1.1044588948800238
black	CX330	1828198	45907.486534890006	513	0.49033704005868645
black	CX383	3346989	49203.82132602	802	0.8977049653244024
black	CX396	1813899	57140.41164622999	382	0.48650112713085275
black	IRIS_313-10059	1682834	64906.55891659	311	0.4513487402713688
black	IRIS_313-10067	2272662	43142.39822383	629	0.6095478269274061
black	IRIS_313-10073	2598174	39842.496182229996	750	0.6968535289261787
black	IRIS_313-10074	1071133	38732.493590779995	326	0.2872866347252357
black	IRIS_313-10078	1954223	45415.83016962	517	0.5241458971873826
black	IRIS_313-10080	2433910	45205.119296059995	622	0.6527960069593309
black	IRIS_313-10092	3105980	41754.85595920001	889	0.8330431699589804
black	IRIS_313-10094	7990520	45121.670395709996	2131	2.143152480549495
black	IRIS_313-10096	1702137	44118.757495879996	430	0.4565267117062234
black	IRIS_313-10097	933523	63374.62972301	204	0.25038053483950184
