color	ID	t_length	mean_size	N	length_%
black	IRIS_313-12322	1924912	52467.07281914	419	0.5162702497656663
black	IRIS_313-12323	910527	49128.10436456	233	0.24421241451394088
black	IRIS_313-12330	2962214	52189.92176248	598	0.7944969850990812
black	IRIS_313-12336	1801361	51672.360255859996	416	0.48313693166566213
black	IRIS_313-12337	3413058	41650.90591131	1010	0.9154079455839483
black	IRIS_313-12340	1752649	52142.792295750005	408	0.4700716603218646
black	IRIS_313-12341	2330038	45218.06285987	593	0.6249322559673371
black	IRIS_313-12342	2054788	54842.31178153	495	0.5511084738140452
black	IRIS_313-12346	1210191	49876.79108193	319	0.3245811510863972
black	IRIS_313-12348	4317559	44016.97268974	1154	1.1579491203599799
black	IRIS_313-12349	1508378	45406.32678535	432	0.4045570611409267
black	IRIS_313-12350	1649869	45604.04947674999	447	0.4425066870147933
black	IRIS_313-12351	681801	45405.896288389995	196	0.18286332374030026
black	IRIS_313-12352	2478599	42300.56272472999	722	0.6647781481063872
black	IRIS_313-12353	3285431	41915.69630156	967	0.881170112275982
black	IRIS_313-8486	4428090	61244.17335709999	737	1.187641613929665
black	IRIS_313-8519	3797414	49896.63107465999	864	1.0184907283623201
black	IRIS_313-8565	7018416	46480.161731399996	1778	1.8823616095037996
black	IRIS_313-8578	2039423	60376.62316141001	430	0.5469945405550332
black	IRIS_313-8580	3970820	46974.3033479	1024	1.065006233720336
black	IRIS_313-8599	2222016	48188.26548708001	557	0.595960023600598
black	IRIS_313-8637	4146108	43766.2800417	1139	1.11201524887763
black	IRIS_313-8815	3373934	48337.04626019	808	0.9049114962481551
black	IRIS_313-8857	3578441	60473.67509113	721	0.95976054238101
black	IRIS_313-8884	2298720	48887.44647059	597	0.6165346128175264
black	IRIS_313-8999	4631553	58886.42202558	911	1.2422100022055378
black	IRIS_313-9048	5152027	50694.39039557	1240	1.3818112076483622
black	IRIS_313-9123	6173241	43981.90390092	1620	1.6557272552221571
black	IRIS_313-9529	5434548	56612.77967008	1136	1.457584211422057
blue	B134	199171840	215081.6682971	11194	53.420277937208205
blue	B241	208070727	310072.468665	8240	55.805993639329785
blue	B245	211131212	288969.9319403	8891	56.62653626021872
blue	B266	205598480	270536.1901843	9166	55.14125553501207
blue	IRIS_313-10656	207455487	297616.8375695	8471	55.64113173981347
blue	IRIS_313-10679	208086569	294512.61378809996	8545	55.81029900421509
blue	IRIS_313-10848	189950983	257048.1548659	8960	50.94626081310686
blue	IRIS_313-10865	193587557	213552.54913950004	10895	51.92039591782154
blue	IRIS_313-10866	201345390	276294.57604009996	8846	54.00010779885911
blue	IRIS_313-10867	204486083	294799.9160571	8341	54.84469775556522
blue	IRIS_313-10870	197221348	288633.13780470006	8255	52.895879124306845
blue	IRIS_313-10874	200312871	277957.8623569	8664	53.72443368396523
blue	IRIS_313-10884	192620668	270317.0487656	8702	51.662243689094744
blue	IRIS_313-10886	199971227	284210.70250169997	8476	53.6338709337098
blue	IRIS_313-10888	202081380	302814.1485931	8136	54.19967430799165
blue	IRIS_313-10889	199424779	281738.1193037	8577	53.48800200493397
