"ID","NAME","COUNTRY","REGION","sNMF_K3","Jap_K4","K9_cluster","Initial_subpop","genoIndex"
"IRIS_313-10785","KETAN_SLAWI","Indonesia","As5",5,1,"GJ-trp","trop",1681
"IRIS_313-10786","KETAN_URANG","Indonesia","As5",5,1,"XI-3","ind3",1682
"IRIS_313-10787","KWATIK_PUTIH","Indonesia","As5",5,1,"XI-3","ind3",1683
"IRIS_313-10790","LOLAWAJI","Indonesia","As5",5,1,"GJ-trp","trop",1686
"IRIS_313-10800","PALOTAN_MELATI","Indonesia","As5",5,1,"GJ-trp","trop",1696
"IRIS_313-10816","SIDJERO_GUNDIL","Indonesia","As5",5,1,"GJ-trp","trop",1712
"IRIS_313-10817","SLAMET","Indonesia","As5",5,1,"GJ-trp","trop",1713
"IRIS_313-10850","ARC_7263","India","As2e",5,1,"admix","admix",1743
"IRIS_313-10854","ARC_10145","India","As2e",5,1,"cA_(Aus)","aus",1747
"IRIS_313-10856","ARC_10537","India","As2e",5,1,"admix","admix",1749
"IRIS_313-10857","ARC_10825","India","As2e",5,1,"admix","admix",1750
"IRIS_313-10859","ARC_10939","India","As2e",5,1,"XI-adm","indx",1752
"IRIS_313-10861","ARC_11276","India","As2e",5,1,"cA_(Aus)","aus",1753
"IRIS_313-10864","ARC_11338","India","As2e",5,1,"admix","admix",1756
"IRIS_313-10871","ARC_11777","India","As2e",5,1,"cA_(Aus)","aus",1763
"IRIS_313-10872","ARC_11802","India","As2e",5,1,"GJ-adm","japx",1764
"IRIS_313-10873","ARC_11822","India","As2e",5,1,"cA_(Aus)","aus",1765
"IRIS_313-10876","ARC_12067","India","As2e",5,1,"cA_(Aus)","aus",1768
"IRIS_313-10877","ARC_12079","India","As2e",5,1,"cA_(Aus)","aus",1769
"IRIS_313-10878","ARC_12101","India","As2e",5,1,"cA_(Aus)","aus",1770
"IRIS_313-10879","ARC_12124","India","As2e",5,1,"admix","admix",1771
"IRIS_313-10881","ARC_12413","India","As2e",5,1,"admix","admix",1773
"IRIS_313-10882","ARC_12433","India","As2e",5,1,"cA_(Aus)","aus",1774
"IRIS_313-10883","ARC_12490","India","As2e",5,1,"admix","admix",1775
"IRIS_313-10891","ARC_12867","India","As2e",5,1,"cA_(Aus)","aus",1783
"IRIS_313-10892","ARC_12920","India","As2e",5,1,"cA_(Aus)","aus",1784
"IRIS_313-10894","ARC_13204","India","As2e",5,1,"admix","admix",1786
"IRIS_313-10896","ARC_13276","India","As2e",5,1,"admix","admix",1788
"IRIS_313-10918","T_Q_QI_QINYUHAYUHA","Philippines","As5",5,1,"GJ-trp","trop",1809
"IRIS_313-10936","KETAN_GUNDIL","Indonesia","As5",5,1,"GJ-trp","trop",1827
"IRIS_313-10980","DUDHSAR","Bangladesh","As2c",5,1,"admix","admix",1870
"IRIS_313-11005","PULU_LOTONG","Indonesia","As5",5,1,"GJ-trp","trop",1894
"IRIS_313-11031","NAWAN_SATHRA_BAGAR_344","Pakistan","As1",5,1,"cA_(Aus)","aus",1920
"IRIS_313-11032","PALAM_PURI_BAS_137","Pakistan","As1",5,1,"cB_(Bas)","aro",1921
"IRIS_313-11046","LALANGIT","Malaysia","As4",5,1,"GJ-trp","trop",1935
"IRIS_313-11062","BEGUNBICHI_33","Bangladesh","As2c",5,1,"cB_(Bas)","aro",1951
"IRIS_313-11068","PANKAIT_31","Bangladesh","As2c",5,1,"cB_(Bas)","aro",1957
"IRIS_313-11095","MAK_EA_NAM","Laos","As4",5,1,"XI-3","ind3",1984
"IRIS_313-11136","NGAKWE_THETYIN","Myanmar","As3",5,1,"admix","admix",2025
"IRIS_313-11204","KARTIKHAMA","Bangladesh","As2c",5,1,"XI-adm","indx",2087
"IRIS_313-11223","OVAL_RED_29_B_601","Bangladesh","As2c",5,1,"cB_(Bas)","aro",2105
"IRIS_313-11257","ARC_12757","India","As2e",5,1,"XI-adm","indx",2139
"IRIS_313-11263","ARC_13919","India","As2e",5,1,"XI-adm","indx",2145
"IRIS_313-11269","ARC_14632","India","As2e",5,1,"XI-adm","indx",2151
"IRIS_313-11270","ARC_14663","India","As2e",5,1,"cB_(Bas)","aro",2152
"IRIS_313-11274","ARC_14901","India","As2e",5,1,"cA_(Aus)","aus",2156
"IRIS_313-11285","ARC_18064","India","As2e",5,1,"XI-2","ind2",2167
"IRIS_313-11290","ARC_6579","India","As2e",5,1,"admix","admix",2172
"IRIS_313-11295","ARC_11397","India","As2e",5,1,"admix","admix",2177
"IRIS_313-11297","ARC_13460","India","As2e",5,1,"admix","admix",2179
"IRIS_313-11302","ARC_14899","India","As2e",5,1,"XI-adm","indx",2184
"IRIS_313-11352","BUCHI","India","As2a",5,1,"cB_(Bas)","aro",2232
"IRIS_313-11452","LOCAL_BHAT","India","As2a",5,1,"cA_(Aus)","aus",2325
"IRIS_313-11453","ZINYA_KOLAMBA","India","As2a",5,1,"XI-2","ind2",2326
"IRIS_313-11460","SELHI","India","As2a",5,1,"XI-2","ind2",2331
"IRIS_313-11484","EJALI","Bangladesh","As2c",5,1,"cA_(Aus)","aus",2349
"IRIS_313-11591","PULUT_MERAH_2","Malaysia","As4",5,1,"admix","admix",2432
"IRIS_313-11617","UPRH_33","India","As2a",5,1,"cA_(Aus)","aus",2451
"IRIS_313-11626","GUDURA","Nepal","As2b",5,1,"cB_(Bas)","aro",2460
"IRIS_313-11643","NCS_603_B","India","As2a",5,1,"XI-1B","ind1B",2473
"IRIS_313-11644","NCS_745","India","As2a",5,1,"XI-2","ind2",2474
"IRIS_313-11671","DERAWA","Nepal","As2b",5,1,"XI-2","ind2",2498
"IRIS_313-11690","KOCHUM","Bhutan","As2d",5,1,"admix","admix",2516
"IRIS_313-11737","CHUNDI","India","As2a",5,1,"cA_(Aus)","aus",2556
"IRIS_313-12052","ADUKKAN","India","As2a",5,1,"XI-adm","indx",2838
"IRIS_313-12183","SETYA","Nepal","As2b",5,1,"cA_(Aus)","aus",2899
"B010","MALAIHONG","Malaysia","As4",0,1,"XI-1A","ind1A",8
"B026","PADI_LADANG_ASE_POLO_KOMEK","Indonesia","As5",0,1,"XI-adm","indx",23
"B029","DUMAI","India","As2a",0,1,"XI-1B","ind1B",26
"B059","NANJING_11","China","As6",0,1,"XI-1A","ind1A",53
"B061","GUANGLUAI_4","China","As6",0,1,"XI-1A","ind1A",55
"B064","XIANGZAOXIAN_7","China","As6",0,1,"XI-adm","indx",58
"B073","JINXIBAI2","China","As6",0,1,"XI-adm","indx",67
"B074","TAISHANNUO","China","As6",0,1,"XI-1A","ind1A",68
"B076","MINBEIWANXIAN","China","As6",0,1,"XI-adm","indx",70
"B079","ESINIU","China","As6",0,1,"XI-1A","ind1A",72
"B081","HEIDU_4","China","As6",0,1,"XI-1A","ind1A",73
"B089","QITOUBAIGU3","China","As6",0,1,"XI-adm","indx",81
"B090","ZIMI","China","As6",0,1,"XI-adm","indx",82
"B091","XIAOHONGGU","China","As6",0,1,"XI-adm","indx",83
"B092","GONGJU_73","China","As6",0,1,"XI-1A","ind1A",84
"B094","ZINUO","China","As6",0,1,"XI-1A","ind1A",86
"B095","MOWANGGUNEIZA","China","As6",0,1,"XI-adm","indx",87
"B096","JINZHINUO4","China","As6",0,1,"XI-adm","indx",88
"B097","JIIENUO","China","As6",0,1,"XI-adm","indx",89
"B105","BAOXUAN_21_A","China","As6",0,1,"XI-adm","indx",95
"B107","DAWANNUO","China","As6",0,1,"XI-adm","indx",97
"B113","CHENWAN_3","China","As6",0,1,"XI-adm","indx",103
"B115","AIMAKANG","China","As6",0,1,"XI-1A","ind1A",105
"B116","SHUFENG_101","China","As6",0,1,"XI-adm","indx",106
"B121","LUKE_3","China","As6",0,1,"XI-1A","ind1A",111
"B123","ZAOSHUXIANGHEIMI","China","As6",0,1,"XI-adm","indx",113
"B125","XIANGWANXIAN_3","China","As6",0,1,"XI-adm","indx",115
"B129","HONGAINUO","China","As6",0,1,"XI-adm","indx",119
"B130","WANLIXIAN","China","As6",0,1,"XI-1A","ind1A",120
"B131","AIZIZHAN","China","As6",0,1,"XI-adm","indx",121
"B140","PEI_C122","China","As6",0,1,"XI-1A","ind1A",130
"B149","HAOXIANG","China","As6",0,1,"XI-1A","ind1A",139
"B150","L_301B","China","As6",0,1,"XI-1A","ind1A",140
"B157","88B","China","As6",0,1,"XI-1A","ind1A",147
"B163","LIUSHIZAO","China","As6",0,1,"XI-1A","ind1A",153
"B197","TAIZHONGXIANXUAN_2","China","As6",0,1,"XI-1A","ind1A",181
"B208","LUCAIHAO","China","As6",0,1,"XI-1A","ind1A",191
"B210","NANXIONGZAOYOUZHAN","China","As6",0,1,"XI-1A","ind1A",192
"B214","XUANENCHANGTANQINGZHAN","China","As6",0,1,"XI-1B","ind1B",195
"B216","HANMADAO4","China","As6",0,1,"XI-1A","ind1A",197
"B217","HONGGU","China","As6",0,1,"XI-1B","ind1B",198
"B222","BEIZINUO","China","As6",0,1,"XI-1A","ind1A",202
"B229","MENJIADING_2","China","As6",0,1,"XI-adm","indx",209
"B247","JINNANTE_B","China","As6",0,1,"XI-adm","indx",226
"B249","CHAOYANGYIHAO_B","China","As6",0,1,"XI-1A","ind1A",228
"B252","XIANGAI_B","China","As6",0,1,"XI-adm","indx",230
"B253","JIANGNONGZAO_1_B","China","As6",0,1,"XI-adm","indx",231
"B254","JINGHU3_B","China","As6",0,1,"XI-adm","indx",232
"B259","LEIHUOZHAN","China","As6",0,1,"XI-1A","ind1A",235
"B261","MEIHUANUO","China","As6",0,1,"XI-1A","ind1A",237
"B264","SANBAILI","China","As6",0,1,"XI-1A","ind1A",239
"B265","WUKEZHAN","China","As6",0,1,"XI-adm","indx",240
"CX60","BASMATI","India","As2a",0,1,"XI-1B","ind1B",297
"CX114","GUANG_LU_AI_4","China","As6",0,1,"XI-1A","ind1A",347
"CX141","PADI_SIAM_KUNING","Malaysia","As4",0,1,"XI-3","ind3",370
"CX148","SRI_RAJA","Malaysia","As4",0,1,"XI-3","ind3",377
"CX150","CHOROFA","Philippines","As5",0,1,"XI-1B","ind1B",379
"CX154","KHAO_DAWK_MALI_105","Thailand","As4",0,1,"XI-3","ind3",383
"CX158","SHWE_WAR_TUN","Vietnam","As4",0,1,"XI-3","ind3",387
"CX162","TN1","Taiwan","As6",0,1,"XI-1A","ind1A",390
"CX270","TAICHUNGNATIVE1","Taiwan","As6",0,1,"XI-1A","ind1A",434
"CX403","IR64A","Philippines","As5",0,1,"XI-1B","ind1B",529
"IRIS_313-7736","NONA_BOKRA","India","As2a",0,1,"XI-2","ind2",584
"IRIS_313-8253","KHAO_DAWK_MALI_105","Thailand","As4",0,1,"XI-3","ind3",754
"IRIS_313-8305","URAIBOOL","India","As2a",0,1,"XI-2","ind2",768
"IRIS_313-8312","BATU","Malaysia","As4",0,1,"XI-3","ind3",770
"IRIS_313-8315","ARC_11867","India","As2e",0,1,"XI-adm","indx",772
"IRIS_313-8332","ARC_15091","India","As2e",0,1,"XI-adm","indx",778
"IRIS_313-8349","LATA_MONA","Bangladesh","As2c",0,1,"XI-2","ind2",782
"IRIS_313-8386","ARC_10812","India","As2e",0,1,"XI-adm","indx",790
"IRIS_313-8401","ARC_13530","India","As2e",0,1,"XI-adm","indx",798
"IRIS_313-8407","NACHIN_ER_12","Malaysia","As4",0,1,"XI-3","ind3",800
"IRIS_313-8414","ARC_18202","India","As2e",0,1,"XI-adm","indx",804
"IRIS_313-8453","ARC_18597","India","As2e",0,1,"XI-adm","indx",814
"IRIS_313-8454","LAI_YIP_ZIM","Taiwan","As6",0,1,"XI-1A","ind1A",815
"IRIS_313-8458","ARC_18175","India","As2e",0,1,"XI-adm","indx",817
"IRIS_313-8485","NAM_SA_GUI_19","Thailand","As4",0,1,"XI-3","ind3",822
"IRIS_313-8493","MELABOH","Indonesia","As5",0,1,"XI-3","ind3",825
"IRIS_313-8530","DHANE_BURWA","India","As2a",0,1,"XI-2","ind2",832
"IRIS_313-8557","SERENDAH_SUNGAI_DUA_25","Malaysia","As4",0,1,"XI-3","ind3",835
"IRIS_313-8568","LARHA_MUGAD","India","As2a",0,1,"XI-2","ind2",839
"IRIS_313-8585","ARC_11901","India","As2e",0,1,"XI-adm","indx",844
"IRIS_313-8586","PLI_KHAO","Thailand","As4",0,1,"XI-3","ind3",845
"IRIS_313-8603","ARC_12884","India","As2e",0,1,"XI-adm","indx",850
